"HolderAddress","Balance","PendingBalanceUpdate"
"0xc246ee9854a159cdb072954c4aec73d56eb58f13","13,640,018.205311943","No"
"0xca7202cbae85fda61342db9a345efb5b41a340a0","13,476,918.039434496","No"
"0x0d6d251710e1494984e64297c41a2dedfd9a1adb","13,358,093.217398289","No"
"0x336ed3c3340847fd02eeb7dbcc348b1f6f3d5a15","13,355,404.3112193","No"
"0x83c97b09ab08cbc6610d8e737e2ccb2fe6fff142","13,342,470.125022881","No"
"0xaf1f1d07ffd208b3bb2c8408a3d64fcb8905ac6c","13,340,434.241309199","No"
"0x9af2004c89b004578af8c68d4246f5ecee613a68","13,272,456.02032506","No"
"0x4234ecc543efb4cdf02039100e7f2a7ed2ab35e6","13,138,540.571860633","No"
"0xdacc7d29e06b71c60292fd85bcb5be4c05f6c218","12,922,494.615284249","No"
"0xa91d6a3b1e5ab66577b3f999455763e8625f4da3","12,903,142.559121222","No"
"0xbf692a98c250e1076d4736d8eb13045bf2c2d14f","12,803,778.126101363","No"
"0xef51883763fe17b57d60e97b2fe9147d36473fb4","12,773,524.640067934","No"
"0x133a9700e6ede72ba28405d52920bf6cff64a1d9","12,528,391.266560568","No"
"0x6b0e8f2df21e819511686a6014e4d4441337c636","12,397,798.531428961","No"
"0xec827ab94a4352728183288c5822fc3e0545efda","12,125,000","No"
"0xc9574c2b63a3ed21c0a80e44310be6061a37528f","12,036,103.912184782","No"
"0xd25e3bb2b44f457ce3ad88d0882e6be5f28498f4","12,032,039.930442894","No"
"0x37fd85bd73352abe8c977c1f6432bf5283d0a0b9","11,851,837.450776224","No"
"0xdf28df8e8c9216a5daa0a3afbefa8c175f35eaa8","11,830,326.547433099","No"
"0x35b94f0e9aa2a93e1617ef54a586e1edfe193a32","11,794,176.649410108","No"
"0x8f1452e6e1bc6871d75c660075d7fd005b697407","11,757,775.832620625","No"
"0xc562a6ae9fa5a22f2094a47ac5c424e03e3b9c72","11,706,501.40581068","No"
"0x270b1e38bc2041e2efc7adfb13739dc005c6753f","11,652,393.627604184","No"
"0x65272e9424017850ad239562360cbba3f2ee1b7a","11,644,673.607016203","No"
"0x8661c3bf91f9ad8b2d562ad63c0b3b40f73c13c1","11,526,034.056398126","No"
"0xe27ef42c236e9a6c0498adcd8804ccfb9702a62a","11,511,514.871037709","No"
"0xfb15b8c39c93501e667df437f2b44185593e6e4b","11,439,887.582797152","No"
"0xc0440025903c947ac592f264e72e2e981eae7f2a","11,232,099.603929339","No"
"0x7b6536845af0fd32ca1fe3457e8f089cb7dc2671","11,194,663.951143241","No"
"0xf211846aedeb47ceef0d9735028ca8d6a3fbe6ac","11,103,778.127465487","No"
"0x20a8e493761ca87143170ee263574f9d1387ee4c","11,072,037.380226663","No"
